Name,Path,Data Type,Logical Address,Comment,Hmi Visible,Hmi Accessible,Hmi Writeable,Typeobject ID,Version ID
CaseId,Constant,Int,%MW12,,True,True,True,,
start,Constant,Bool,%M14.0,,True,True,True,,
Opened,Constant,Bool,%M14.1,,True,True,True,,
Closed,Constant,Bool,%M14.2,,True,True,True,,
GlobalLocalManual,Common,Bool,%M0.0,,True,True,True,,
GlobalSafetyStop,Default tag table,Bool,%M31.1,,True,True,True,,
RD1_DI_Breaker_OK,PLC_INPUT,Bool,%I0.0,Автоматичний вимикач RD1,True,True,True,,
RD1_DI_Speed_OK,PLC_INPUT,Bool,%I0.1,Датчик руху RD1,True,True,True,,
RD1_DI_Overflow_OK,PLC_INPUT,Bool,%I0.2,Датчик переповнення RD1,True,True,True,,
RD2_DI_Breaker_OK,PLC_INPUT,Bool,%I0.3,Автоматичний вимикач RD2,True,True,True,,
RD2_DI_Speed_OK,PLC_INPUT,Bool,%I0.4,Датчик руху RD2,True,True,True,,
RD2_DI_Overflow_OK,PLC_INPUT,Bool,%I0.5,Датчик переповнення RD2,True,True,True,,
RD3_DI_Breaker_OK,PLC_INPUT,Bool,%I0.6,Автоматичний вимикач RD3,True,True,True,,
RD3_DI_Speed_OK,PLC_INPUT,Bool,%I0.7,Датчик руху RD3,True,True,True,,
RD3_DI_Overflow_OK,PLC_INPUT,Bool,%I1.0,Датчик переповнення RD3,True,True,True,,
RD4_DI_Breaker_OK,PLC_INPUT,Bool,%I1.1,Автоматичний вимикач RD4,True,True,True,,
RD4_DI_Speed_OK,PLC_INPUT,Bool,%I1.2,Датчик руху RD4,True,True,True,,
RD4_DI_Overflow_OK,PLC_INPUT,Bool,%I1.3,Датчик переповнення RD4,True,True,True,,
RD5_DI_Breaker_OK,PLC_INPUT,Bool,%I1.4,Автоматичний вимикач RD5,True,True,True,,
RD5_DI_Speed_OK,PLC_INPUT,Bool,%I1.5,Датчик руху RD5,True,True,True,,
RD5_DI_Overflow_OK,PLC_INPUT,Bool,%I1.6,Датчик переповнення RD5,True,True,True,,
RD6_DI_Breaker_OK,PLC_INPUT,Bool,%I1.7,Автоматичний вимикач RD6,True,True,True,,
RD6_DI_Speed_OK,PLC_INPUT,Bool,%I2.0,Датчик руху RD6,True,True,True,,
RD6_DI_Overflow_OK,PLC_INPUT,Bool,%I2.1,Датчик переповнення RD6,True,True,True,,
RD7_DI_Breaker_OK,PLC_INPUT,Bool,%I2.2,Автоматичний вимикач RD7,True,True,True,,
RD7_DI_Speed_OK,PLC_INPUT,Bool,%I2.3,Датчик руху RD7,True,True,True,,
RD7_DI_Overflow_OK,PLC_INPUT,Bool,%I2.4,Датчик переповнення RD7,True,True,True,,
RD8_DI_Breaker_OK,PLC_INPUT,Bool,%I2.5,Автоматичний вимикач RD8,True,True,True,,
RD8_DI_Speed_OK,PLC_INPUT,Bool,%I2.6,Датчик руху RD8,True,True,True,,
RD8_DI_Overflow_OK,PLC_INPUT,Bool,%I2.7,Датчик переповнення RD8,True,True,True,,
RD9_DI_Breaker_OK,PLC_INPUT,Bool,%I3.0,Автоматичний вимикач RD9,True,True,True,,
RD9_DI_Speed_OK,PLC_INPUT,Bool,%I3.1,Датчик руху RD9,True,True,True,,
RD9_DI_Overflow_OK,PLC_INPUT,Bool,%I3.2,Датчик переповнення RD9,True,True,True,,
RD10_DI_Breaker_OK,PLC_INPUT,Bool,%I3.3,Автоматичний вимикач RD10,True,True,True,,
RD10_DI_Speed_OK,PLC_INPUT,Bool,%I3.4,Датчик руху RD10,True,True,True,,
RD10_DI_Overflow_OK,PLC_INPUT,Bool,%I3.5,Датчик переповнення RD10,True,True,True,,
RD11_DI_Breaker_OK,PLC_INPUT,Bool,%I3.6,Автоматичний вимикач RD11,True,True,True,,
RD11_DI_Speed_OK,PLC_INPUT,Bool,%I3.7,Датчик руху RD11,True,True,True,,
RD11_DI_Overflow_OK,PLC_INPUT,Bool,%I4.0,Датчик переповнення RD11,True,True,True,,
RD12_DI_Breaker_OK,PLC_INPUT,Bool,%I4.1,Автоматичний вимикач RD12,True,True,True,,
RD12_DI_Speed_OK,PLC_INPUT,Bool,%I4.2,Датчик руху RD12,True,True,True,,
RD12_DI_Overflow_OK,PLC_INPUT,Bool,%I4.3,Датчик переповнення RD12,True,True,True,,
RD13_DI_Breaker_OK,PLC_INPUT,Bool,%I4.4,Автоматичний вимикач RD13,True,True,True,,
RD13_DI_Speed_OK,PLC_INPUT,Bool,%I4.5,Датчик руху RD13,True,True,True,,
RD13_DI_Overflow_OK,PLC_INPUT,Bool,%I4.6,Датчик переповнення RD13,True,True,True,,
RD14_DI_Breaker_OK,PLC_INPUT,Bool,%I4.7,Автоматичний вимикач RD14,True,True,True,,
RD14_DI_Speed_OK,PLC_INPUT,Bool,%I5.0,Датчик руху RD14,True,True,True,,
RD14_DI_Overflow_OK,PLC_INPUT,Bool,%I5.1,Датчик переповнення RD14,True,True,True,,
RD15_DI_Breaker_OK,PLC_INPUT,Bool,%I5.2,Автоматичний вимикач RD15,True,True,True,,
RD15_DI_Speed_OK,PLC_INPUT,Bool,%I5.3,Датчик руху RD15,True,True,True,,
RD15_DI_Overflow_OK,PLC_INPUT,Bool,%I5.4,Датчик переповнення RD15,True,True,True,,
RD16_DI_Breaker_OK,PLC_INPUT,Bool,%I5.5,Автоматичний вимикач RD16,True,True,True,,
RD16_DI_Speed_OK,PLC_INPUT,Bool,%I5.6,Датчик руху RD16,True,True,True,,
RD16_DI_Overflow_OK,PLC_INPUT,Bool,%I5.7,Датчик переповнення RD16,True,True,True,,
RD17_DI_Breaker_OK,PLC_INPUT,Bool,%I6.0,Автоматичний вимикач RD17,True,True,True,,
RD17_DI_Speed_OK,PLC_INPUT,Bool,%I6.1,Датчик руху RD17,True,True,True,,
RD17_DI_Overflow_OK,PLC_INPUT,Bool,%I6.2,Датчик переповнення RD17,True,True,True,,
RD18_DI_Breaker_OK,PLC_INPUT,Bool,%I6.3,Автоматичний вимикач RD18,True,True,True,,
RD18_DI_Speed_OK,PLC_INPUT,Bool,%I6.4,Датчик руху RD18,True,True,True,,
RD18_DI_Overflow_OK,PLC_INPUT,Bool,%I6.5,Датчик переповнення RD18,True,True,True,,
RD19_DI_Breaker_OK,PLC_INPUT,Bool,%I6.6,Автоматичний вимикач RD19,True,True,True,,
RD19_DI_Speed_OK,PLC_INPUT,Bool,%I6.7,Датчик руху RD19,True,True,True,,
RD19_DI_Overflow_OK,PLC_INPUT,Bool,%I7.0,Датчик переповнення RD19,True,True,True,,
RD20_DI_Breaker_OK,PLC_INPUT,Bool,%I7.1,Автоматичний вимикач RD20,True,True,True,,
RD20_DI_Speed_OK,PLC_INPUT,Bool,%I7.2,Датчик руху RD20,True,True,True,,
RD20_DI_Overflow_OK,PLC_INPUT,Bool,%I7.3,Датчик переповнення RD20,True,True,True,,
RD21_DI_Breaker_OK,PLC_INPUT,Bool,%I7.4,Автоматичний вимикач RD21,True,True,True,,
RD21_DI_Speed_OK,PLC_INPUT,Bool,%I7.5,Датчик руху RD21,True,True,True,,
RD21_DI_Overflow_OK,PLC_INPUT,Bool,%I7.6,Датчик переповнення RD21,True,True,True,,
RD22_DI_Breaker_OK,PLC_INPUT,Bool,%I7.7,Автоматичний вимикач RD22,True,True,True,,
RD22_DI_Speed_OK,PLC_INPUT,Bool,%I8.0,Датчик руху RD22,True,True,True,,
RD22_DI_Overflow_OK,PLC_INPUT,Bool,%I8.1,Датчик переповнення RD22,True,True,True,,
RD23_DI_Breaker_OK,PLC_INPUT,Bool,%I8.2,Автоматичний вимикач RD23,True,True,True,,
RD23_DI_Speed_OK,PLC_INPUT,Bool,%I8.3,Датчик руху RD23,True,True,True,,
RD23_DI_Overflow_OK,PLC_INPUT,Bool,%I8.4,Датчик переповнення RD23,True,True,True,,
RD24_DI_Breaker_OK,PLC_INPUT,Bool,%I8.5,Автоматичний вимикач RD24,True,True,True,,
RD24_DI_Speed_OK,PLC_INPUT,Bool,%I8.6,Датчик руху RD24,True,True,True,,
RD24_DI_Overflow_OK,PLC_INPUT,Bool,%I8.7,Датчик переповнення RD24,True,True,True,,
RD25_DI_Breaker_OK,PLC_INPUT,Bool,%I9.0,Автоматичний вимикач RD25,True,True,True,,
RD25_DI_Speed_OK,PLC_INPUT,Bool,%I9.1,Датчик руху RD25,True,True,True,,
RD25_DI_Overflow_OK,PLC_INPUT,Bool,%I9.2,Датчик переповнення RD25,True,True,True,,
RD26_DI_Breaker_OK,PLC_INPUT,Bool,%I9.3,Автоматичний вимикач RD26,True,True,True,,
RD26_DI_Speed_OK,PLC_INPUT,Bool,%I9.4,Датчик руху RD26,True,True,True,,
RD26_DI_Overflow_OK,PLC_INPUT,Bool,%I9.5,Датчик переповнення RD26,True,True,True,,
RD27_DI_Breaker_OK,PLC_INPUT,Bool,%I9.6,Автоматичний вимикач RD27,True,True,True,,
RD27_DI_Speed_OK,PLC_INPUT,Bool,%I9.7,Датчик руху RD27,True,True,True,,
RD27_DI_Overflow_OK,PLC_INPUT,Bool,%I10.0,Датчик переповнення RD27,True,True,True,,
RD28_DI_Breaker_OK,PLC_INPUT,Bool,%I10.1,Автоматичний вимикач RD28,True,True,True,,
RD28_DI_Speed_OK,PLC_INPUT,Bool,%I10.2,Датчик руху RD28,True,True,True,,
RD28_DI_Overflow_OK,PLC_INPUT,Bool,%I10.3,Датчик переповнення RD28,True,True,True,,
RD29_DI_Breaker_OK,PLC_INPUT,Bool,%I10.4,Автоматичний вимикач RD29,True,True,True,,
RD29_DI_Speed_OK,PLC_INPUT,Bool,%I10.5,Датчик руху RD29,True,True,True,,
RD29_DI_Overflow_OK,PLC_INPUT,Bool,%I10.6,Датчик переповнення RD29,True,True,True,,
RD30_DI_Breaker_OK,PLC_INPUT,Bool,%I10.7,Автоматичний вимикач RD30,True,True,True,,
RD30_DI_Speed_OK,PLC_INPUT,Bool,%I11.0,Датчик руху RD30,True,True,True,,
RD30_DI_Overflow_OK,PLC_INPUT,Bool,%I11.1,Датчик переповнення RD30,True,True,True,,
RD31_DI_Breaker_OK,PLC_INPUT,Bool,%I11.2,Автоматичний вимикач RD31,True,True,True,,
RD31_DI_Speed_OK,PLC_INPUT,Bool,%I11.3,Датчик руху RD31,True,True,True,,
RD31_DI_Overflow_OK,PLC_INPUT,Bool,%I11.4,Датчик переповнення RD31,True,True,True,,
RD32_DI_Breaker_OK,PLC_INPUT,Bool,%I11.5,Автоматичний вимикач RD32,True,True,True,,
RD32_DI_Speed_OK,PLC_INPUT,Bool,%I11.6,Датчик руху RD32,True,True,True,,
RD32_DI_Overflow_OK,PLC_INPUT,Bool,%I11.7,Датчик переповнення RD32,True,True,True,,
RD33_DI_Breaker_OK,PLC_INPUT,Bool,%I12.0,Автоматичний вимикач RD33,True,True,True,,
RD33_DI_Speed_OK,PLC_INPUT,Bool,%I12.1,Датчик руху RD33,True,True,True,,
RD33_DI_Overflow_OK,PLC_INPUT,Bool,%I12.2,Датчик переповнення RD33,True,True,True,,
RD34_DI_Breaker_OK,PLC_INPUT,Bool,%I12.3,Автоматичний вимикач RD34,True,True,True,,
RD34_DI_Speed_OK,PLC_INPUT,Bool,%I12.4,Датчик руху RD34,True,True,True,,
RD34_DI_Overflow_OK,PLC_INPUT,Bool,%I12.5,Датчик переповнення RD34,True,True,True,,
RD35_DI_Breaker_OK,PLC_INPUT,Bool,%I12.6,Автоматичний вимикач RD35,True,True,True,,
RD35_DI_Speed_OK,PLC_INPUT,Bool,%I12.7,Датчик руху RD35,True,True,True,,
RD35_DI_Overflow_OK,PLC_INPUT,Bool,%I13.0,Датчик переповнення RD35,True,True,True,,
RD36_DI_Breaker_OK,PLC_INPUT,Bool,%I13.1,Автоматичний вимикач RD36,True,True,True,,
RD36_DI_Speed_OK,PLC_INPUT,Bool,%I13.2,Датчик руху RD36,True,True,True,,
RD36_DI_Overflow_OK,PLC_INPUT,Bool,%I13.3,Датчик переповнення RD36,True,True,True,,
RD37_DI_Breaker_OK,PLC_INPUT,Bool,%I13.4,Автоматичний вимикач RD37,True,True,True,,
RD37_DI_Speed_OK,PLC_INPUT,Bool,%I13.5,Датчик руху RD37,True,True,True,,
RD37_DI_Overflow_OK,PLC_INPUT,Bool,%I13.6,Датчик переповнення RD37,True,True,True,,
RD38_DI_Breaker_OK,PLC_INPUT,Bool,%I13.7,Автоматичний вимикач RD38,True,True,True,,
RD38_DI_Speed_OK,PLC_INPUT,Bool,%I14.0,Датчик руху RD38,True,True,True,,
RD38_DI_Overflow_OK,PLC_INPUT,Bool,%I14.1,Датчик переповнення RD38,True,True,True,,
NR1_DI_Breaker_OK,PLC_INPUT,Bool,%I14.2,Автоматичний вимикач NR1,True,True,True,,
NR1_DI_Speed_OK,PLC_INPUT,Bool,%I14.3,Датчик руху NR1,True,True,True,,
NR1_DI_Alignment_OK,PLC_INPUT,Bool,%I14.4,Схід стрічки NR1,True,True,True,,
NR2_DI_Breaker_OK,PLC_INPUT,Bool,%I14.5,Автоматичний вимикач NR2,True,True,True,,
NR2_DI_Speed_OK,PLC_INPUT,Bool,%I14.6,Датчик руху NR2,True,True,True,,
NR2_DI_Alignment_OK,PLC_INPUT,Bool,%I14.7,Схід стрічки NR2,True,True,True,,
NR3_DI_Breaker_OK,PLC_INPUT,Bool,%I15.0,Автоматичний вимикач NR3,True,True,True,,
NR3_DI_Speed_OK,PLC_INPUT,Bool,%I15.1,Датчик руху NR3,True,True,True,,
NR3_DI_Alignment_OK,PLC_INPUT,Bool,%I15.2,Схід стрічки NR3,True,True,True,,
NR4_DI_Breaker_OK,PLC_INPUT,Bool,%I15.3,Автоматичний вимикач NR4,True,True,True,,
NR4_DI_Speed_OK,PLC_INPUT,Bool,%I15.4,Датчик руху NR4,True,True,True,,
NR4_DI_Alignment_OK,PLC_INPUT,Bool,%I15.5,Схід стрічки NR4,True,True,True,,
NR5_DI_Breaker_OK,PLC_INPUT,Bool,%I15.6,Автоматичний вимикач NR5,True,True,True,,
NR5_DI_Speed_OK,PLC_INPUT,Bool,%I15.7,Датчик руху NR5,True,True,True,,
NR5_DI_Alignment_OK,PLC_INPUT,Bool,%I16.0,Схід стрічки NR5,True,True,True,,
NR6_DI_Breaker_OK,PLC_INPUT,Bool,%I16.1,Автоматичний вимикач NR6,True,True,True,,
NR6_DI_Speed_OK,PLC_INPUT,Bool,%I16.2,Датчик руху NR6,True,True,True,,
NR6_DI_Alignment_OK,PLC_INPUT,Bool,%I16.3,Схід стрічки NR6,True,True,True,,
NR7_DI_Breaker_OK,PLC_INPUT,Bool,%I16.4,Автоматичний вимикач NR7,True,True,True,,
NR7_DI_Speed_OK,PLC_INPUT,Bool,%I16.5,Датчик руху NR7,True,True,True,,
NR7_DI_Alignment_OK,PLC_INPUT,Bool,%I16.6,Схід стрічки NR7,True,True,True,,
NR8_DI_Breaker_OK,PLC_INPUT,Bool,%I16.7,Автоматичний вимикач NR8,True,True,True,,
NR8_DI_Speed_OK,PLC_INPUT,Bool,%I17.0,Датчик руху NR8,True,True,True,,
NR8_DI_Alignment_OK,PLC_INPUT,Bool,%I17.1,Схід стрічки NR8,True,True,True,,
NR9_DI_Breaker_OK,PLC_INPUT,Bool,%I17.2,Автоматичний вимикач NR9,True,True,True,,
NR9_DI_Speed_OK,PLC_INPUT,Bool,%I17.3,Датчик руху NR9,True,True,True,,
NR9_DI_Alignment_OK,PLC_INPUT,Bool,%I17.4,Схід стрічки NR9,True,True,True,,
NR10_DI_Breaker_OK,PLC_INPUT,Bool,%I17.5,Автоматичний вимикач NR10,True,True,True,,
NR10_DI_Speed_OK,PLC_INPUT,Bool,%I17.6,Датчик руху NR10,True,True,True,,
NR10_DI_Alignment_OK,PLC_INPUT,Bool,%I17.7,Схід стрічки NR10,True,True,True,,
NR11_DI_Breaker_OK,PLC_INPUT,Bool,%I18.0,Автоматичний вимикач NR11,True,True,True,,
NR11_DI_Speed_OK,PLC_INPUT,Bool,%I18.1,Датчик руху NR11,True,True,True,,
NR11_DI_Alignment_OK,PLC_INPUT,Bool,%I18.2,Схід стрічки NR11,True,True,True,,
FD1_DI_Feedback_OK,PLC_INPUT,Bool,%I18.3,Фідбек контактору FD1,True,True,True,,
SEP1_DI_Feedback_OK,PLC_INPUT,Bool,%I18.4,Фідбек контактору SEP1,True,True,True,,
FN1_DI_Feedback_OK,PLC_INPUT,Bool,%I18.5,Фідбек контактору FN1,True,True,True,,
FD2_DI_Feedback_OK,PLC_INPUT,Bool,%I18.6,Фідбек контактору FD2,True,True,True,,
SEP2_DI_Feedback_OK,PLC_INPUT,Bool,%I18.7,Фідбек контактору SEP2,True,True,True,,
FN2_DI_Feedback_OK,PLC_INPUT,Bool,%I19.0,Фідбек контактору FN2,True,True,True,,
FD3_DI_Feedback_OK,PLC_INPUT,Bool,%I19.1,Фідбек контактору FD3,True,True,True,,
SEP3_DI_Feedback_OK,PLC_INPUT,Bool,%I19.2,Фідбек контактору SEP3,True,True,True,,
FN3_DI_Feedback_OK,PLC_INPUT,Bool,%I19.3,Фідбек контактору FN3,True,True,True,,
DR1_FN1_DI_Breaker_OK,PLC_INPUT,Bool,%I20.0,Автоматичний вимикач FN1 Сушарка№1,True,True,True,,
DR1_FN1_DI_Feedback_OK,PLC_INPUT,Bool,%I20.1,Фідбек контактору FN1 Сушарка№1,True,True,True,,
DR1_FN2_DI_Breaker_OK,PLC_INPUT,Bool,%I20.2,Автоматичний вимикач FN2 Сушарка№1,True,True,True,,
DR1_FN2_DI_Feedback_OK,PLC_INPUT,Bool,%I20.3,Фідбек контактору FN2 Сушарка№1,True,True,True,,
DR1_FN3_DI_Breaker_OK,PLC_INPUT,Bool,%I20.4,Автоматичний вимикач FN3 Сушарка№1,True,True,True,,
DR1_FN3_DI_Feedback_OK,PLC_INPUT,Bool,%I20.5,Фідбек контактору FN3 Сушарка№1,True,True,True,,
DR1_FN4_DI_Breaker_OK,PLC_INPUT,Bool,%I20.6,Автоматичний вимикач FN4 Сушарка№1,True,True,True,,
DR1_FN4_DI_Feedback_OK,PLC_INPUT,Bool,%I20.7,Фідбек контактору FN4 Сушарка№1,True,True,True,,
DR1_FN5_DI_Breaker_OK,PLC_INPUT,Bool,%I21.0,Автоматичний вимикач FN5 Сушарка№1,True,True,True,,
DR1_FN5_DI_Feedback_OK,PLC_INPUT,Bool,%I21.1,Фідбек контактору FN5 Сушарка№1,True,True,True,,
DR1_FN6_DI_Breaker_OK,PLC_INPUT,Bool,%I21.2,Автоматичний вимикач FN6 Сушарка№1,True,True,True,,
DR1_FN6_DI_Feedback_OK,PLC_INPUT,Bool,%I21.3,Фідбек контактору FN6 Сушарка№1,True,True,True,,
DR1_FN7_DI_Breaker_OK,PLC_INPUT,Bool,%I21.4,Автоматичний вимикач FN7 Сушарка№1,True,True,True,,
DR1_FN7_DI_Feedback_OK,PLC_INPUT,Bool,%I21.5,Фідбек контактору FN7 Сушарка№1,True,True,True,,
DR1_PAL1_DI_Breaker_OK,PLC_INPUT,Bool,%I21.6,Автоматичний вимикач PAL1 Сушарка№1,True,True,True,,
DR1_PAL1_DI_Auto_OK,PLC_INPUT,Bool,%I21.7,Автоматичний режим PAL1 Суршарка№1,True,True,True,,
DR1_PAL1_DI_Feedback1_OK,PLC_INPUT,Bool,%I22.0,Фідбек контактору PAL1 Сушарка№1,True,True,True,,
DR1_PAL1_DI_Alarm,PLC_INPUT,Bool,%I22.1,Сигнал аварії PAL1 Сушарка№1,True,True,True,,
DR1_PAL1_DI_DR_Temp_OK,PLC_INPUT,Bool,%I22.2,Температура в нормі Сушарка№1,True,True,True,,
DR1_PAL2_DI_Breaker_OK,PLC_INPUT,Bool,%I22.3,Автоматичний вимикач PAL2 Сушарка№1,True,True,True,,
DR1_PAL2_DI_Auto_OK,PLC_INPUT,Bool,%I22.4,Автоматичний режим PAL2 Суршарка№1,True,True,True,,
DR1_PAL2_DI_Feedback1_OK,PLC_INPUT,Bool,%I22.5,Фідбек контактору PAL2 Сушарка№1,True,True,True,,
DR1_PAL2_DI_Alarm,PLC_INPUT,Bool,%I22.6,Сигнал аварії PAL2 Сушарка№1,True,True,True,,
DR1_PAL2_DI_DR_Temp_OK,PLC_INPUT,Bool,%I22.7,Температура в нормі Сушарка№1,True,True,True,,
UW1_DI_Feedback_OK,PLC_INPUT,Bool,%I23.0,,True,True,True,,
DR2_FN1_DI_Breaker_OK,PLC_INPUT,Bool,%I23.1,Автоматичний вимикач FN1 Сушарка№2,True,True,True,,
DR2_FN1_DI_Feedback_OK,PLC_INPUT,Bool,%I23.2,Фідбек контактору FN1 Сушарка№2,True,True,True,,
DR2_FN2_DI_Breaker_OK,PLC_INPUT,Bool,%I23.3,Автоматичний вимикач FN2 Сушарка№2,True,True,True,,
DR2_FN2_DI_Feedback_OK,PLC_INPUT,Bool,%I23.4,Фідбек контактору FN2 Сушарка№2,True,True,True,,
DR2_FN3_DI_Breaker_OK,PLC_INPUT,Bool,%I23.5,Автоматичний вимикач FN3 Сушарка№2,True,True,True,,
DR2_FN3_DI_Feedback_OK,PLC_INPUT,Bool,%I23.6,Фідбек контактору FN3 Сушарка№2,True,True,True,,
DR2_FN4_DI_Breaker_OK,PLC_INPUT,Bool,%I23.7,Автоматичний вимикач FN4 Сушарка№2,True,True,True,,
DR2_FN4_DI_Feedback_OK,PLC_INPUT,Bool,%I24.0,Фідбек контактору FN4 Сушарка№2,True,True,True,,
DR2_FN5_DI_Breaker_OK,PLC_INPUT,Bool,%I24.1,Автоматичний вимикач FN5 Сушарка№2,True,True,True,,
DR2_FN5_DI_Feedback_OK,PLC_INPUT,Bool,%I24.2,Фідбек контактору FN5 Сушарка№2,True,True,True,,
DR2_FN6_DI_Breaker_OK,PLC_INPUT,Bool,%I24.3,Автоматичний вимикач FN6 Сушарка№2,True,True,True,,
DR2_FN6_DI_Feedback_OK,PLC_INPUT,Bool,%I24.4,Фідбек контактору FN6 Сушарка№2,True,True,True,,
DR2_FN7_DI_Breaker_OK,PLC_INPUT,Bool,%I24.5,Автоматичний вимикач FN7 Сушарка№2,True,True,True,,
DR2_FN7_DI_Feedback_OK,PLC_INPUT,Bool,%I24.6,Фідбек контактору FN7 Сушарка№2,True,True,True,,
DR2_PAL1_DI_Breaker_OK,PLC_INPUT,Bool,%I24.7,Автоматичний вимикач PAL1 Сушарка№2,True,True,True,,
DR2_PAL1_DI_Auto_OK,PLC_INPUT,Bool,%I25.0,Автоматичний режим PAL1 Суршарка№2,True,True,True,,
DR2_PAL1_DI_Feedback1_OK,PLC_INPUT,Bool,%I25.1,Фідбек контактору PAL1 Сушарка№2,True,True,True,,
DR2_PAL1_DI_Alarm,PLC_INPUT,Bool,%I25.2,Сигнал аварії PAL1 Сушарка№2,True,True,True,,
DR2_PAL1_DI_DR_Temp_OK,PLC_INPUT,Bool,%I25.3,Температура в нормі Сушарка№2,True,True,True,,
DR2_PAL2_DI_Breaker_OK,PLC_INPUT,Bool,%I25.4,Автоматичний вимикач PAL2 Сушарка№2,True,True,True,,
DR2_PAL2_DI_Auto_OK,PLC_INPUT,Bool,%I25.5,Автоматичний режим PAL2 Суршарка№2,True,True,True,,
DR2_PAL2_DI_Feedback1_OK,PLC_INPUT,Bool,%I25.6,Фідбек контактору PAL2 Сушарка№2,True,True,True,,
DR2_PAL2_DI_Alarm,PLC_INPUT,Bool,%I25.7,Сигнал аварії PAL2 Сушарка№2,True,True,True,,
DR2_PAL2_DI_DR_Temp_OK,PLC_INPUT,Bool,%I26.0,Температура в нормі Сушарка№2,True,True,True,,
UW2_DI_Feedback_OK,PLC_INPUT,Bool,%I26.1,,True,True,True,,
DR3_FN1_DI_Breaker_OK,PLC_INPUT,Bool,%I26.2,Автоматичний вимикач FN1 Сушарка№3,True,True,True,,
DR3_FN1_DI_Feedback_OK,PLC_INPUT,Bool,%I26.3,Фідбек контактору FN1 Сушарка№3,True,True,True,,
DR3_FN2_DI_Breaker_OK,PLC_INPUT,Bool,%I26.4,Автоматичний вимикач FN2 Сушарка№3,True,True,True,,
DR3_FN2_DI_Feedback_OK,PLC_INPUT,Bool,%I26.5,Фідбек контактору FN2 Сушарка№3,True,True,True,,
DR3_FN3_DI_Breaker_OK,PLC_INPUT,Bool,%I26.6,Автоматичний вимикач FN3 Сушарка№3,True,True,True,,
DR3_FN3_DI_Feedback_OK,PLC_INPUT,Bool,%I26.7,Фідбек контактору FN3 Сушарка№3,True,True,True,,
DR3_FN4_DI_Breaker_OK,PLC_INPUT,Bool,%I27.0,Автоматичний вимикач FN4 Сушарка№3,True,True,True,,
DR3_FN4_DI_Feedback_OK,PLC_INPUT,Bool,%I27.1,Фідбек контактору FN4 Сушарка№3,True,True,True,,
DR3_FN5_DI_Breaker_OK,PLC_INPUT,Bool,%I27.2,Автоматичний вимикач FN5 Сушарка№3,True,True,True,,
DR3_FN5_DI_Feedback_OK,PLC_INPUT,Bool,%I27.3,Фідбек контактору FN5 Сушарка№3,True,True,True,,
DR3_FN6_DI_Breaker_OK,PLC_INPUT,Bool,%I27.4,Автоматичний вимикач FN6 Сушарка№3,True,True,True,,
DR3_FN6_DI_Feedback_OK,PLC_INPUT,Bool,%I27.5,Фідбек контактору FN6 Сушарка№3,True,True,True,,
DR3_FN7_DI_Breaker_OK,PLC_INPUT,Bool,%I27.6,Автоматичний вимикач FN7 Сушарка№3,True,True,True,,
DR3_FN7_DI_Feedback_OK,PLC_INPUT,Bool,%I27.7,Фідбек контактору FN7 Сушарка№3,True,True,True,,
DR3_PAL1_DI_Breaker_OK,PLC_INPUT,Bool,%I28.0,Автоматичний вимикач PAL1 Сушарка№3,True,True,True,,
